S.no,Movie Title,Genre,Budget (Cr),Director Success Rate,Lead Actor Success Rate,IMDb,Trailer Views (M),Box Office Revenue
109,Student of the Year 2,Romance,80.0,85.7,45.0,2.2,75,98.16
110,Student of the Year,Romance,59.0,85.7,74.5,5.3,14,70.0
111,Luka Chuppi,Romance,25.0,100.0,50.0,6.4,69,75.24
112,Sonu Ke Titu Ki Sweety,Romance,25.0,60.0,50.0,7.1,41,156.46
113,Dream Girl ,Romance,28.0,67.0,70.0,5.2,50,200.8
114,De De Pyaar De,Romance,75.0,50.0,46.0,6.5,76,143.0
115,Pati Patni Aur Woh,Romance,30.0,33.33,50.0,5.8,58,117.7
116,The Zoya Factor,Romance,33.0,50.0,50.0,4.4,23,6.96
117,Bajirao Mastani,Romance,145.0,60.0,56.25,7.3,17,356.2
118,Qarib Qarib Single,Romance,8.2,0.0,50.0,7.1,15,16.33
119,Toilet: A Love Story,Romance,75.0,33.33,52.0,7.2,0.927,311.5
120,Dear Zindagi,Romance,30.0,100.0,83.3,7.4,6.4,120.0
121,Kapoor & Sons,Romance,35.0,66.0,60.0,7.7,16,120.01
122,Ae Dil Hai Mushkil,Romance,100.0,85.7,60.0,5.9,23,240.0
123,OK Jaanu,Romance,27.0,66.0,57.89,5.3,28,39.23
124,Jab Harry Met Sejal,Romance,80.0,50.0,45.0,5.1,14,147.76
125,Badrinath Ki Dulhania,Romance,47.5,100.0,72.0,6.1,39,194.81
126,Tamasha,Romance,87.0,50.0,60.0,7.4,1.2,136.63
127,Shaadi Mein Zaroor Aana,Romance,13.0,0.0,70.0,7.5,24,19.4
128,Baar Baar Dekho,Romance,53.0,20.0,60.0,5.4,0.313,43.4
129,Shubh Mangal Savdhan,Romance,17.0,100.0,70.0,6.9,18,72.36
130,Roy,Romance,40.0,0.0,60.0,3.2,10,20.0
131,Befikre,Romance,70.0,80.0,56.25,4.1,46,103.99
132,Half Girlfriend,Romance,50.0,75.0,26.7,4.7,41,97.0
133,Singh Is Bliing,Romance,9.1,75.0,52.0,5.0,5.3,12.5
134,Prem Ratan Dhan Payo,Romance,6.0,80.0,62.02,4.4,27,43.0
135,Kis Kisko Pyaar Karoon,Romance,15.0,75.0,36.0,5.6,7.6,7.2
136,Tanu Weds Manu Returns,Romance,39.0,50.0,70.0,7.6,12,255.0
137,Munna Michael,Romance,32.0,66.0,45.0,3.4,29,34.61
138,Meri Pyaari Bindu,Romance,22.0,0.0,70.0,6.1,2.7,17.7
139,Raabta,Romance,45.0,80.0,55.6,4.8,45,39.0
140,Shaandaar,Romance,60.0,60.0,43.0,3.7,15,75.0
141,Three of Us,Romance,0.2,50.0,50.0,7.5,3.6,0.3
142,Auron Mein Kahan Dum Tha,Romance,10.0,57.0,46.0,6.5,66,12.91
143,Tara vs Bilal,Romance,20.0,30.0,20.0,5.9,9.2,12.0
144,Teri Baaton Mein Aisa Uljha Jiya,Romance,10.0,100.0,43.0,6.2,61,13.3
145,Atrangi re,Romance,12.0,50.0,60.0,6.5,8.3,20.0
146,RRR,Action,550.0,100.0,54.43,7.8,85,1200.0
147,Baahubali: The Beginning,Action,180.0,100.0,45.45,8.0,29,650.0
148,Adipurush,Action,700.0,50.0,42.725,2.7,30,388.35
149,Baahubali: The Conclusion,Action,250.0,100.0,45.45,8.2,66,1788.06
150,Pushpa: The Rise - Part 1,Action,225.0,77.78,52.63,7.6,74,393.5
151,Salaar,Action,270.0,100.0,45.45,6.6,53,700.0
152,Kalki 2898 AD,Action,600.0,100.0,45.45,7.0,31,1054.67
153,Pushpa: The Rule - Part 2,Action,450.0,77.78,52.63,6.1,113,1740.0
154,1: Nenokkadine,Action,65.0,77.78,75.0,8.0,0.699,30.79
155,Game Changer,Action,450.0,76.92,57.14,5.5,58,178.0
156,Daaku Maharaj,Action,100.0,80.0,60.0,6.0,18,133.0
157,Devara part 1,Action,300.0,83.33,51.72,6.0,49,403.83
158,Hanu Man,Action,40.0,75.0,60.0,7.7,25,294.18
159,Saripodhaa Sanivaaram,Action,90.0,100.0,65.0,7.0,22,100.03
160,Razakar: The Silent Genocide of Hyderabad,Action,10.0,100.0,12.5,7.4,1.6,0.93
161,Janatha Garage,Action,50.0,83.33,51.72,7.2,7.7,130.35
162,Bhagavanth Kesari,Action,100.0,100.0,60.0,5.8,25,135.0
163,Zebra,Action,10.0,50.0,45.0,8.0,3.1,6.2
