s.no,movie_title,genre,budget_cr,director_success_rate,lead_actor_success_rate,imdb,trailer_views_m,box_office_revenue,revenue_status,director_success_status,actor_success_status,profit_cr,roi_percent,hit_flop
454,Kali,Thriller,15,42.3,83,7.2,1.9,2,Available,Recorded Success,Recorded Success,-13,-86.66666667,Flop
455,Masooda,Thriller,10,65.7,50,7.2,5.1,6,Available,Recorded Success,Recorded Success,-4,-40,Flop
456,Hunt,Thriller,20,50.4,55,5.4,6.8,2,Available,Recorded Success,Recorded Success,-18,-90,Flop
457,Appudu Ippudo Eppudo,Thriller,15,35.2,41,4.7,3.5,2,Available,Recorded Success,Recorded Success,-13,-86.66666667,Flop
458,Kavacham,Thriller,25,45.6,35,5.5,2.2,35,Available,Recorded Success,Recorded Success,10,40,Hit
459,Lie,Thriller,40,48.9,60,5.8,4.7,55,Available,Recorded Success,Recorded Success,15,37.5,Hit
460,Spark L.I.F.E,Thriller,5,40.7,50,7.3,11,2,Available,Recorded Success,Recorded Success,-3,-60,Flop
461,Nannaku Prematho,Thriller,50,82.4,51.72,7.5,7.5,95,Available,Recorded Success,Recorded Success,45,90,Hit
462,118,Thriller,20,60.3,35,6.4,0.891,30,Available,Recorded Success,Recorded Success,10,50,Hit
463,Saakshyam,Thriller,30,50,45,4.6,9,45,Available,Recorded Success,Recorded Success,15,50,Hit
464,Black Rose,Thriller,2,38.2,50,4,0.261,1,Available,Recorded Success,Recorded Success,-1,-50,Flop
465,Maya,Thriller,10,66,76,,3.9,1,Available,Recorded Success,Recorded Success,-9,-90,Flop
466,Anthima Theerpu,Thriller,1.15,42.7,50,8.1,0.677,2,Available,Recorded Success,Recorded Success,0.85,73.91304348,Hit
467,Kshanam,Thriller,15,75.3,70,8.1,1.7,7,Available,Recorded Success,Recorded Success,-8,-53.33333333,Flop
468,Ninu Veedani Needanu Nene,Thriller,15,55.4,50,5.8,3.8,3,Available,Recorded Success,Recorded Success,-12,-80,Flop
469,Satyabhama,Thriller,15,48.3,70,5.9,3.5,2.55,Available,Recorded Success,Recorded Success,-12.45,-83,Flop
470,Tiger Nagheswar Rao,Thriller,60,60.8,75,6.2,16,40,Available,Recorded Success,Recorded Success,-20,-33.33333333,Flop
471,U-Turn,Thriller,10,68.9,65,6,6.1,12,Available,Recorded Success,Recorded Success,2,20,Hit
472,Karthikeya 2,Thriller,50,80.2,41,6.9,13,135,Available,Recorded Success,Recorded Success,85,170,Hit
473,The story of a beautiful girl,Thriller,1,39.8,50,4.9,1.7,1,Available,Recorded Success,Recorded Success,0,0,Flop
474,Case 30,Thriller,1.4,41.2,50,7.1,1,1.5,Available,Recorded Success,Recorded Success,0.1,7.142857143,Hit
475,Subrahmanyapuram,Thriller,15,55.7,60,5.4,2,5.75,Available,Recorded Success,Recorded Success,-9.25,-61.66666667,Flop
476,1:Nenokkadine,Thriller,60,70.5,75,7.9,0.703,55,Available,Recorded Success,Recorded Success,-5,-8.333333333,Flop
477,Rakshasudu,Thriller,20,65.1,65,7.9,2.3,17.1,Available,Recorded Success,Recorded Success,-2.9,-14.5,Flop
478,Neevevaro,Thriller,4.2,58.4,60,6.8,2,12,Available,Recorded Success,Recorded Success,7.8,185.7142857,Hit
479,Veekshanam,Thriller,15,50,50,8,1,1.5,Available,Recorded Success,Recorded Success,-13.5,-90,Flop
480,Kota Bommali PS,Thriller,0.44,60.6,60,7.2,0.245,2,Available,Recorded Success,Recorded Success,1.56,354.5454545,Hit
481,Vakeel Saab,Thriller,70,78.9,35,6.9,49,135,Available,Recorded Success,Recorded Success,65,92.85714286,Hit
482,Arjun Suravaram,Thriller,10,62.7,41,6.6,4.5,21,Available,Recorded Success,Recorded Success,11,110,Hit
483,Kerosene,Thriller,3,45.1,50,7.4,0.237,1.75,Available,Recorded Success,Recorded Success,-1.25,-41.66666667,Flop
484,The Great Indian Suicide,Thriller,5,40.9,55,5.8,0.224,2,Available,Recorded Success,Recorded Success,-3,-60,Flop
485,Raagala 24 Gantallo,Thriller,15,50.2,60,5.2,0.81,2,Available,Recorded Success,Recorded Success,-13,-86.66666667,Flop
486,Jawaan,Thriller,18,55.8,65,4.7,76,1148,Available,Recorded Success,Recorded Success,1130,6277.777778,Hit
487,Devil-The British Secret Agent,Thriller,80,58.6,60,6.5,16,22.9,Available,Recorded Success,Recorded Success,-57.1,-71.375,Flop
488,Bholaa Shankar,Thriller,101,50.5,65,3.3,20,47.5,Available,Recorded Success,Recorded Success,-53.5,-52.97029703,Flop
489,Raju Gari Gadhi 3,Thriller,10,45.9,55,5.5,6.1,20.71,Available,Recorded Success,Recorded Success,10.71,107.1,Hit
490,Kalki,Thriller,600,65.3,50,6.8,31,18,Available,Recorded Success,Recorded Success,-582,-97,Flop
491,Mukhachitram,Thriller,5,52.4,50,6.4,0.691,0.5,Available,Recorded Success,Recorded Success,-4.5,-90,Flop
492,Viswam,Thriller,24,47.8,55,4.2,0.88,18.96,Available,Recorded Success,Recorded Success,-5.04,-21,Flop
493,G-Zombie,Thriller,0.0025,40.3,50,4.5,1.2,4.5,Available,Recorded Success,Recorded Success,4.4975,179900,Hit
494,Butterfly,Thriller,15,54.7,54,4.6,8.2,12,Available,Recorded Success,Recorded Success,-3,-20,Flop
495,Jai Lava Kusa,Thriller,45,75.6,51.72,6.8,27,175,Available,Recorded Success,Recorded Success,130,288.8888889,Hit
496,Custody,Thriller,30,58.2,60,5.7,17,11,Available,Recorded Success,Recorded Success,-19,-63.33333333,Flop
497,Shivangi Lioness,Thriller,4,42.6,50,7.8,0.741,1,Available,Recorded Success,Recorded Success,-3,-75,Flop
498,Maa Oori Polimera,Thriller,6,60.5,60,7.2,1,1.1,Available,Recorded Success,Recorded Success,-4.9,-81.66666667,Flop
499,Drushyam,Thriller,6,70.8,83,8.2,0.732,20,Available,Recorded Success,Recorded Success,14,233.3333333,Hit
500,Gentleman,Thriller,15,68.4,80,7.1,2.8,32.6,Available,Recorded Success,Recorded Success,17.6,117.3333333,Hit
501,Dongalunnaru Jagratta,Thriller,2.5,45,55,5.1,0.431,20.5,Available,Recorded Success,Recorded Success,18,720,Hit
502,Amma Rajyamlo Kadapa Biddalu,Thriller,1,30,50,3.2,9,4.82,Available,Recorded Success,Recorded Success,3.82,382,Hit
503,Karthiekya,Thriller,6,75,41,7.2,1,20,Available,Recorded Success,Recorded Success,14,233.3333333,Hit
504,Bluff Master,Thriller,10,55.5,60,6.3,0.62,32.71,Available,Recorded Success,Recorded Success,22.71,227.1,Hit
505,Nene Naa,Thriller,9,50,55,3.9,2,0.035,Available,Recorded Success,Recorded Success,-8.965,-99.61111111,Flop
506,C/o Kancharapalem,Drama,0.77,70,90,9.5,17,3,Available,Recorded Success,Recorded Success,2.23,289.6103896,Hit
507,Billa,Drama,120,75,80,4.3,0.6,10,Available,Recorded Success,Recorded Success,-110,-91.66666667,Flop
508,Vachindamma,Drama,5,75,80,8.2,12,8,Available,Recorded Success,Recorded Success,3,60,Hit
509,Pelli Sandadi 2,Drama,1.25,60,65,8.3,1,5,Available,Recorded Success,Recorded Success,3.75,300,Hit
510,Prathi Roju Pandage,Drama,25,85,85,8.1,20,45,Available,Recorded Success,Recorded Success,20,80,Hit
511,Manasunna Reddy,Drama,0.8,60,65,8.5,1,7,Available,Recorded Success,Recorded Success,6.2,775,Hit
512,Kshana Kshanam 2,Drama,1.4,70,70,7.9,2,10,Available,Recorded Success,Recorded Success,8.6,614.2857143,Hit
513,Ala Vaikunthapurramuloo,Drama,100,90,95,8.3,90,150,Available,Recorded Success,Recorded Success,50,50,Hit
514,Kshana Kshanam Reloaded,Drama,1,65,70,8.2,1,7,Available,Recorded Success,Recorded Success,6,600,Hit
515,Pelli Sandadi 3,Drama,1.25,60,65,8,0.5,5,Available,Recorded Success,Recorded Success,3.75,300,Hit
516,Toli Prema Reloaded,Drama,7,70,80,7.9,4,20,Available,Recorded Success,Recorded Success,13,185.7142857,Hit
517,Unbeaten Geniuses,Drama,12,65,70,8.5,1,5,Available,Recorded Success,Recorded Success,-7,-58.33333333,Flop
518,Pelli Sandadi Revisited,Drama,3,60,65,5.1,0.5,3,Available,Recorded Success,Recorded Success,0,0,Flop
519,Dhanak,Drama,2,80,75,7.9,2.5,10,Available,Recorded Success,Recorded Success,8,400,Hit
520,Kshana Kshanam 3,Drama,3.5,65,70,8.1,1,7,Available,Recorded Success,Recorded Success,3.5,100,Hit
521,Kshana Kshanam Returns,Drama,4,65,70,7.9,1,6,Available,Recorded Success,Recorded Success,2,50,Hit
522,Chitram 2,Drama,6,70,70,8,2,7,Available,Recorded Success,Recorded Success,1,16.66666667,Hit
523,Kshana Kshanam 4,Drama,5,60,65,7.8,0.78,6,Available,Recorded Success,Recorded Success,1,20,Hit
524,Gamyam 2,Drama,50,70,75,8.1,1,10,Available,Recorded Success,Recorded Success,-40,-80,Flop
525,Rocky aur Rani ki Prem Kahani,Drama,160,85,90,6.5,80,355,Available,Recorded Success,Recorded Success,195,121.875,Hit
526,Gangubai Kathiawadi,Drama,180,90,90,7.8,65,220,Available,Recorded Success,Recorded Success,40,22.22222222,Hit
527,The Kashmir Files,Drama,25,85,85,8.5,40,300,Available,Recorded Success,Recorded Success,275,1100,Hit
528,The White Tiger,Drama,25,80,85,7.1,20,0,Zero Revenue,Recorded Success,Recorded Success,-25,-100,Flop
529,Thappad,Drama,20,85,90,7,15,44,Available,Recorded Success,Recorded Success,24,120,Hit
530,Uri : The Surgical Strike,Drama,25,95,95,8.2,70,342,Available,Recorded Success,Recorded Success,317,1268,Hit
531,Aa Naluguru,Drama,1.5,70,60,8.6,0.002,3,Available,Recorded Success,Recorded Success,1.5,100,Hit
532,Aditya's Journey,Drama,13,85,70,8.2,9.2,90,Available,Recorded Success,Recorded Success,77,592.3076923,Hit
533,Baahubali 2: The Conclusion,Drama,250,90,85,8.2,105,1810,Available,Recorded Success,Recorded Success,1560,624,Hit
534,Bhale Bhale Magadivoy,Drama,7,100,80,8,6.7,55,Available,Recorded Success,Recorded Success,48,685.7142857,Hit
535,Chinnadana Neekosam,Drama,12,60,65,8,1.9,15,Available,Recorded Success,Recorded Success,3,25,Hit
536,Chitram,Drama,0.8,100,50,8.7,0.18,6,Available,Recorded Success,Recorded Success,5.2,650,Hit
537,Chupultho,Drama,1.5,70,80,8.2,0.08,20,Available,Recorded Success,Recorded Success,18.5,1233.333333,Hit
538,Ee Nagaraniki Emaindi,Drama,2.5,100,70,8.1,1.8,8,Available,Recorded Success,Recorded Success,5.5,220,Hit
539,Jersey,Drama,25,80,70,8.5,,48,Available,Recorded Success,Recorded Success,23,92,Hit
540,Kalyana Vaibhogame,Drama,4,70,65,7.8,1.5,8,Available,Recorded Success,Recorded Success,4,100,Hit
541,Karthikeya,Drama,5,100,70,7.8,2.1,20,Available,Recorded Success,Recorded Success,15,300,Hit
542,Love Story,Drama,30,85,75,8.2,10.5,60,Available,Recorded Success,Recorded Success,30,100,Hit
543,Mahanati,Drama,25,100,75,8.4,10.3,83,Available,Recorded Success,Recorded Success,58,232,Hit
544,Malleswari,Drama,8,70,75,8.4,0.45,20,Available,Recorded Success,Recorded Success,12,150,Hit
545,Manam,Drama,28,80,85,8.4,0.45,62,Available,Recorded Success,Recorded Success,34,121.4285714,Hit
546,NTR Kathanayakudu,Drama,50,75,80,8.4,3.2,20,Available,Recorded Success,Recorded Success,-30,-60,Flop
547,Nuvvu Naaku Nachchav,Drama,6,75,80,8.8,0.47,20,Available,Recorded Success,Recorded Success,14,233.3333333,Hit
548,Okka Kshanam,Drama,10,60,65,7.8,1.9,5,Available,Recorded Success,Recorded Success,-5,-50,Flop
549,Pelli Sandadi,Drama,2,80,75,8,11,15,Available,Recorded Success,Recorded Success,13,650,Hit
550,Prema Katha Chitram,Drama,2,75,70,8,2.8,20,Available,Recorded Success,Recorded Success,18,900,Hit
551,Prema Katha Chitram 2,Drama,3,50,50,8.1,1.3,5,Available,Recorded Success,Recorded Success,2,66.66666667,Hit
552,Raghavendra,Drama,8,60,70,8.5,0.035,12,Available,Recorded Success,Recorded Success,4,50,Hit
553,Raja Rani,Drama,15,100,80,8.1,5.6,50,Available,Recorded Success,Recorded Success,35,233.3333333,Hit
554,Rajanna,Drama,20,60,70,8.1,2.3,8,Available,Recorded Success,Recorded Success,-12,-60,Flop
555,Rangasthalam,Drama,60,90,85,8.4,12.7,216,Available,Recorded Success,Recorded Success,156,260,Hit
556,Samudram,Drama,6,70,60,8.3,0.34,10,Available,Recorded Success,Recorded Success,4,66.66666667,Hit
557,Sarileru Neekevvaru,Drama,75,85,90,7.9,25.3,260,Available,Recorded Success,Recorded Success,185,246.6666667,Hit
558,Seethamma Vakitlo Sirimalle Chettu,Drama,50,75,80,8.4,3.8,51,Available,Recorded Success,Recorded Success,1,2,Hit
559,Sye,Drama,10,80,75,7.9,0.006,22,Available,Recorded Success,Recorded Success,12,120,Hit
560,Loveyapa,Drama,30,37.5,25,5.4,0.447,7.69,Available,Recorded Success,Recorded Success,-22.31,-74.36666667,Flop
