s.no,movie_title,genre,budget_cr,director_success_rate,lead_actor_success_rate,imdb,trailer_views_m,box_office_revenue,revenue_status,director_success_status,actor_success_status,profit_cr,roi_percent,hit_flop
93,"Love, Sitara",Romance,7,50,20,5.3,0.231,8.5,Available,Recorded Success,Recorded Success,1.5,21.42857143,Hit
94,Jug Jugg Jeeyo,Romance,85,66,72,6.1,45,85.03,Available,Recorded Success,Recorded Success,0.03,0.035294118,Hit
95,Love Aaj Kal,Romance,50,50,50,4.7,50,52.6,Available,Recorded Success,Recorded Success,2.6,5.2,Hit
96,Tiku Weds Sheru,Romance,4.5,20,70,3.4,23,3.4,Available,Recorded Success,Recorded Success,-1.1,-24.44444444,Flop
97,Starfish,Romance,12,50,0,4.4,13,24,Available,Recorded Success,No Recorded Success,12,100,Hit
98,Love Hostel,Romance,20,25,60,5.7,1.4,10,Available,Recorded Success,Recorded Success,-10,-50,Flop
99,Khaali Peeli,Romance,20,45,40,2.5,8,52.38,Available,Recorded Success,Recorded Success,32.38,161.9,Hit
100,Janhit Mein Jaari,Romance,6,50,60,6.8,18,5.98,Available,Recorded Success,Recorded Success,-0.02,-0.333333333,Flop
101,Hungama 2,Romance,20,24,60,3.2,4.7,147.68,Available,Recorded Success,Recorded Success,127.68,638.4,Hit
102,Bunty Aur Babli 2,Romance,45,100,50,4.1,25,22.12,Available,Recorded Success,Recorded Success,-22.88,-50.84444444,Flop
103,Plan A Plan B,Romance,8,50,60,4.6,22,10.17,Available,Recorded Success,Recorded Success,2.17,27.125,Hit
104,Dhadak,Romance,41,100,55,4.6,20,95.12,Available,Recorded Success,Recorded Success,54.12,132,Hit
105,Laila Majnu,Romance,1.7,50,50,7.7,19,2.18,Available,Recorded Success,Recorded Success,0.48,28.23529412,Hit
106,Kalank,Romance,150,33.33,72,3.7,38,145,Available,Recorded Success,Recorded Success,-5,-3.333333333,Flop
107,Housefull 4,Romance,189,75,52,3.6,126,197.68,Available,Recorded Success,Recorded Success,8.68,4.592592593,Hit
108,Gully Boy,Romance,65,60,56.25,7.9,64,238.16,Available,Recorded Success,Recorded Success,173.16,266.4,Hit
109,Student of the Year 2,Romance,80,85.7,45,2.2,75,98.16,Available,Recorded Success,Recorded Success,18.16,22.7,Hit
110,Student of the Year,Romance,59,85.7,74.5,5.3,14,70,Available,Recorded Success,Recorded Success,11,18.6440678,Hit
111,Luka Chuppi,Romance,25,100,50,6.4,69,75.24,Available,Recorded Success,Recorded Success,50.24,200.96,Hit
112,Sonu Ke Titu Ki Sweety,Romance,25,60,50,7.1,41,156.46,Available,Recorded Success,Recorded Success,131.46,525.84,Hit
113,Dream Girl ,Romance,28,67,70,5.2,50,200.8,Available,Recorded Success,Recorded Success,172.8,617.1428571,Hit
114,De De Pyaar De,Romance,75,50,46,6.5,76,143,Available,Recorded Success,Recorded Success,68,90.66666667,Hit
115,Pati Patni Aur Woh,Romance,30,33.33,50,5.8,58,117.7,Available,Recorded Success,Recorded Success,87.7,292.3333333,Hit
116,The Zoya Factor,Romance,33,50,50,4.4,23,6.96,Available,Recorded Success,Recorded Success,-26.04,-78.90909091,Flop
117,Bajirao Mastani,Romance,145,60,56.25,7.3,17,356.2,Available,Recorded Success,Recorded Success,211.2,145.6551724,Hit
118,Qarib Qarib Single,Romance,8.2,0,50,7.1,15,16.33,Available,No Recorded Success,Recorded Success,8.13,99.14634146,Hit
119,Toilet: A Love Story,Romance,75,33.33,52,7.2,0.927,311.5,Available,Recorded Success,Recorded Success,236.5,315.3333333,Hit
120,Dear Zindagi,Romance,30,100,83.3,7.4,6.4,120,Available,Recorded Success,Recorded Success,90,300,Hit
121,Kapoor & Sons,Romance,35,66,60,7.7,16,120.01,Available,Recorded Success,Recorded Success,85.01,242.8857143,Hit
122,Ae Dil Hai Mushkil,Romance,100,85.7,60,5.9,23,240,Available,Recorded Success,Recorded Success,140,140,Hit
123,OK Jaanu,Romance,27,66,57.89,5.3,28,39.23,Available,Recorded Success,Recorded Success,12.23,45.2962963,Hit
124,Jab Harry Met Sejal,Romance,80,50,45,5.1,14,147.76,Available,Recorded Success,Recorded Success,67.76,84.7,Hit
125,Badrinath Ki Dulhania,Romance,47.5,100,72,6.1,39,194.81,Available,Recorded Success,Recorded Success,147.31,310.1263158,Hit
126,Tamasha,Romance,87,50,60,7.4,1.2,136.63,Available,Recorded Success,Recorded Success,49.63,57.04597701,Hit
127,Shaadi Mein Zaroor Aana,Romance,13,0,70,7.5,24,19.4,Available,No Recorded Success,Recorded Success,6.4,49.23076923,Hit
128,Baar Baar Dekho,Romance,53,20,60,5.4,0.313,43.4,Available,Recorded Success,Recorded Success,-9.6,-18.11320755,Flop
129,Shubh Mangal Savdhan,Romance,17,100,70,6.9,18,72.36,Available,Recorded Success,Recorded Success,55.36,325.6470588,Hit
130,Roy,Romance,40,0,60,3.2,10,20,Available,No Recorded Success,Recorded Success,-20,-50,Flop
131,Befikre,Romance,70,80,56.25,4.1,46,103.99,Available,Recorded Success,Recorded Success,33.99,48.55714286,Hit
132,Half Girlfriend,Romance,50,75,26.7,4.7,41,97,Available,Recorded Success,Recorded Success,47,94,Hit
133,Singh Is Bliing,Romance,9.1,75,52,5,5.3,12.5,Available,Recorded Success,Recorded Success,3.4,37.36263736,Hit
134,Prem Ratan Dhan Payo,Romance,6,80,62.02,4.4,27,43,Available,Recorded Success,Recorded Success,37,616.6666667,Hit
135,Kis Kisko Pyaar Karoon,Romance,15,75,36,5.6,7.6,7.2,Available,Recorded Success,Recorded Success,-7.8,-52,Flop
136,Tanu Weds Manu Returns,Romance,39,50,70,7.6,12,255,Available,Recorded Success,Recorded Success,216,553.8461538,Hit
137,Munna Michael,Romance,32,66,45,3.4,29,34.61,Available,Recorded Success,Recorded Success,2.61,8.15625,Hit
138,Meri Pyaari Bindu,Romance,22,0,70,6.1,2.7,17.7,Available,No Recorded Success,Recorded Success,-4.3,-19.54545455,Flop
139,Raabta,Romance,45,80,55.6,4.8,45,39,Available,Recorded Success,Recorded Success,-6,-13.33333333,Flop
140,Shaandaar,Romance,60,60,43,3.7,15,75,Available,Recorded Success,Recorded Success,15,25,Hit
141,Three of Us,Romance,0.2,50,50,7.5,3.6,0.3,Available,Recorded Success,Recorded Success,0.1,50,Hit
142,Auron Mein Kahan Dum Tha,Romance,10,57,46,6.5,66,12.91,Available,Recorded Success,Recorded Success,2.91,29.1,Hit
143,Tara vs Bilal,Romance,20,30,20,5.9,9.2,12,Available,Recorded Success,Recorded Success,-8,-40,Flop
144,Teri Baaton Mein Aisa Uljha Jiya,Romance,10,100,43,6.2,61,13.3,Available,Recorded Success,Recorded Success,3.3,33,Hit
145,Atrangi re,Romance,12,50,60,6.5,8.3,20,Available,Recorded Success,Recorded Success,8,66.66666667,Hit
146,RRR,Action,550,100,54.43,7.8,85,1200,Available,Recorded Success,Recorded Success,650,118.1818182,Hit
147,Baahubali: The Beginning,Action,180,100,45.45,8,29,650,Available,Recorded Success,Recorded Success,470,261.1111111,Hit
148,Adipurush,Action,700,50,42.725,2.7,30,388.35,Available,Recorded Success,Recorded Success,-311.65,-44.52142857,Flop
149,Baahubali: The Conclusion,Action,250,100,45.45,8.2,66,1788.06,Available,Recorded Success,Recorded Success,1538.06,615.224,Hit
150,Pushpa: The Rise - Part 1,Action,225,77.78,52.63,7.6,74,393.5,Available,Recorded Success,Recorded Success,168.5,74.88888889,Hit
151,Salaar,Action,270,100,45.45,6.6,53,700,Available,Recorded Success,Recorded Success,430,159.2592593,Hit
152,Kalki 2898 AD,Action,600,100,45.45,7,31,1054.67,Available,Recorded Success,Recorded Success,454.67,75.77833333,Hit
153,Pushpa: The Rule - Part 2,Action,450,77.78,52.63,6.1,113,1740,Available,Recorded Success,Recorded Success,1290,286.6666667,Hit
154,1: Nenokkadine,Action,65,77.78,75,8,0.699,30.79,Available,Recorded Success,Recorded Success,-34.21,-52.63076923,Flop
155,Game Changer,Action,450,76.92,57.14,5.5,58,178,Available,Recorded Success,Recorded Success,-272,-60.44444444,Flop
156,Daaku Maharaj,Action,100,80,60,6,18,133,Available,Recorded Success,Recorded Success,33,33,Hit
157,Devara part 1,Action,300,83.33,51.72,6,49,403.83,Available,Recorded Success,Recorded Success,103.83,34.61,Hit
158,Hanu Man,Action,40,75,60,7.7,25,294.18,Available,Recorded Success,Recorded Success,254.18,635.45,Hit
159,Saripodhaa Sanivaaram,Action,90,100,65,7,22,100.03,Available,Recorded Success,Recorded Success,10.03,11.14444444,Hit
160,Razakar: The Silent Genocide of Hyderabad,Action,10,100,12.5,7.4,1.6,0.93,Available,Recorded Success,Recorded Success,-9.07,-90.7,Flop
161,Janatha Garage,Action,50,83.33,51.72,7.2,7.7,130.35,Available,Recorded Success,Recorded Success,80.35,160.7,Hit
162,Bhagavanth Kesari,Action,100,100,60,5.8,25,135,Available,Recorded Success,Recorded Success,35,35,Hit
163,Zebra,Action,10,50,45,8,3.1,6.2,Available,Recorded Success,Recorded Success,-3.8,-38,Flop
164,Godfather,Action,120,90,65,5.1,20,119.09,Available,Recorded Success,Recorded Success,-0.91,-0.758333333,Flop
165,Magadheera,Action,40,100,57.14,7.7,0.7,150,Available,Recorded Success,Recorded Success,110,275,Hit
166,Virata Parvam,Action,15,50,50.5,6.7,10,12,Available,Recorded Success,Recorded Success,-3,-20,Flop
167,Macherla Niyojakavargam,Action,30,0,29,4.5,23,16.65,Available,No Recorded Success,Recorded Success,-13.35,-44.5,Flop
168,Gandeevadhari Arjuna,Action,46,14.29,33,5.4,10,3,Available,Recorded Success,Recorded Success,-43,-93.47826087,Flop
169,Indra,Action,8,75,60,7.5,0.189,53,Available,Recorded Success,Recorded Success,45,562.5,Hit
170,The Ghost,Action,6,14.29,65,5.1,12,12.17,Available,Recorded Success,Recorded Success,6.17,102.8333333,Hit
171,Krishnarjuna Yudham,Action,20,40,65,5.8,6.9,14.8,Available,Recorded Success,Recorded Success,-5.2,-26,Flop
172,Simhadri,Action,8.5,100,51.72,7.3,0.68,30,Available,Recorded Success,Recorded Success,21.5,252.9411765,Hit
173,Raja the great,Action,30,100,52.5,6.3,7.1,52,Available,Recorded Success,Recorded Success,22,73.33333333,Hit
174,Aditya 369,Action,1.52,75,60,8.4,0.017,9,Available,Recorded Success,Recorded Success,7.48,492.1052632,Hit
175,Oosaravelli,Action,25,60,51.72,6.5,0.082,57,Available,Recorded Success,Recorded Success,32,128,Hit
176,Rachcha,Action,50,60,57.14,4.5,0.433,44.78,Available,Recorded Success,Recorded Success,-5.22,-10.44,Flop
177,Bhaje Vaayu Vegam,Action,15,100,30,6.1,6.1,7.2,Available,Recorded Success,Recorded Success,-7.8,-52,Flop
178,Parugu,Action,1.15,50,52.63,7.1,0.042,20,Available,Recorded Success,Recorded Success,18.85,1639.130435,Hit
179,Khaidi No. 150,Action,50,70.6,65,5.8,10,164,Available,Recorded Success,Recorded Success,114,228,Hit
180,Panjaa,Action,33,55.6,55,6.5,0.324,50,Available,Recorded Success,Recorded Success,17,51.51515152,Hit
181,Dasara,Action,65,100,65,6.6,15,62.99,Available,Recorded Success,Recorded Success,-2.01,-3.092307692,Flop
182,Bhadra,Action,6,60,52.5,6.8,0.041,21,Available,Recorded Success,Recorded Success,15,250,Hit
183,"Naa Peru Surya, Naa Illu India",Action,55,43,52.63,6.7,12,85,Available,Recorded Success,Recorded Success,30,54.54545455,Hit
184,Vinaya Vidheya Rama,Action,70,60,57.14,3.3,38,62.6,Available,Recorded Success,Recorded Success,-7.4,-10.57142857,Flop
185,Touch Chesi Chudu,Action,15,0,52.5,4.7,4.7,19,Available,No Recorded Success,Recorded Success,4,26.66666667,Hit
186,Legend,Action,40,60,60,6.2,3.3,88,Available,Recorded Success,Recorded Success,48,120,Hit
187,Veera Simha Reddy,Action,100,71,60,4.8,25,134,Available,Recorded Success,Recorded Success,34,34,Hit
188,Acharya,Action,140,83,61.07,3.8,38,76.7,Available,Recorded Success,Recorded Success,-63.3,-45.21428571,Flop
189,Rebel,Action,40,72,42.725,4.9,0.29,104,Available,Recorded Success,Recorded Success,64,160,Hit
190,Don,Action,16.85,86,65,5.8,2.6,20,Available,Recorded Success,Recorded Success,3.15,18.69436202,Hit
191,Marco,Action,30,100,60,6.8,12.3,100,Available,Recorded Success,Recorded Success,70,233.3333333,Hit
192,Arjun S/O Vijayanthi,Action,100,100,25,6.1,12.3,15,Available,Recorded Success,Recorded Success,-85,-85,Flop
193,Major,Action,32,100,80,8.1,14,64,Available,Recorded Success,Recorded Success,32,100,Hit
194,Jack,Action,80,0,66.7,5.6,2.3,78,Available,No Recorded Success,Recorded Success,-2,-2.5,Flop
195,Liger,Action,90,61.1,50,2.6,50,20.05,Available,Recorded Success,Recorded Success,-69.95,-77.72222222,Flop
196,Skanda,Action,50,50,33,4.2,50,57.5,Available,Recorded Success,Recorded Success,7.5,15,Hit
197,Ugram,Action,15,50,76,6.5,7.5,45,Available,Recorded Success,Recorded Success,30,200,Hit
198,Saindhav,Action,80,66,57,5.1,8.2,18.4,Available,Recorded Success,Recorded Success,-61.6,-77,Flop
199,Pottel,Action,7.5,0,70,8.1,2.3,15,Available,No Recorded Success,Recorded Success,7.5,100,Hit
200,Warrior,Action,70,50,33,4.8,18,313.2,Available,Recorded Success,Recorded Success,243.2,347.4285714,Hit
201,Tuck Jagadish,Action,5,66,65,5.6,3.5,45,Available,Recorded Success,Recorded Success,40,800,Hit
202,Zombie reddy,Action,4,66,60,6.6,4.5,25,Available,Recorded Success,Recorded Success,21,525,Hit
203,Rama rao on duty,Action,55,0,52.5,5.1,10,35,Available,No Recorded Success,Recorded Success,-20,-36.36363636,Flop
204,Bheemla nayak,Action,75,50,51,6.3,11.8,192,Available,Recorded Success,Recorded Success,117,156,Hit
205,Buddy,Action,25,50,28,3.8,20,20,Available,Recorded Success,Recorded Success,-5,-20,Flop
206,Gandharva dhaari arjuna,Action,50,50,87.5,5.4,10,18,Available,Recorded Success,Recorded Success,-32,-64,Flop
207,krack,Action,35,66,52.5,6.9,5,70.6,Available,Recorded Success,Recorded Success,35.6,101.7142857,Hit
208,Dhamaka ,Action,35,66,52.5,6.2,6,110,Available,Recorded Success,Recorded Success,75,214.2857143,Hit
209,Wild dog,Action,6,0,65,6.1,10,35,Available,No Recorded Success,Recorded Success,29,483.3333333,Hit
210,Aadhikeshava,Action,20,0,27.5,4.2,7.96,0.02,Available,No Recorded Success,Recorded Success,-19.98,-99.9,Flop
211,Bhimbisara,Action,40,100,25,6.8,29,50,Available,Recorded Success,Recorded Success,10,25,Hit
212,Double ismart,Action,47.5,50,33,2.9,1.5,1.15,Available,Recorded Success,Recorded Success,-46.35,-97.57894737,Flop
213,Seetimaar,Action,25,50,55,5,10,15.1,Available,Recorded Success,Recorded Success,-9.9,-39.6,Flop
214,Devil,Action,45,0,25,6.5,16,20,Available,No Recorded Success,Recorded Success,-25,-55.55555556,Flop
215,Ravanasura,Action,50,50,52.5,5.7,10,24,Available,Recorded Success,Recorded Success,-26,-52,Flop
216,Disco raja,Action,30,50,52.5,6.1,6.9,26,Available,Recorded Success,Recorded Success,-4,-13.33333333,Flop
217,Republic,Action,40,50,44,7.8,14,40,Available,Recorded Success,Recorded Success,0,0,Flop
